"NOM";"CP";"LATTI";"LONGI";"Site";"SOUS_TYPE";"COMMUNE"
"So jazz !";"06480";43.68717014;7.09773644;"www.lacollesurloup-tourisme.com/fr";"Musique";"LA_COLLE-SUR-LOUP"
"Bobines rebelles";"05300";44.33403454;5.81650957;"non renseigne";"Cinéma";"LARAGNE-MONTEGLIN"
"Cap Ferret Music Festival";"33950";44.76094402;-1.19293697;"http://www.capferretmusicfestival.com/";"Musique";"LEGE-CAP-FERRET"
"Les Berniques en Folie";"85350";46.70935148;-2.34712702;"http://lesberniquesenfolie.fr/";"Musique";"L_ILE-D_YEU"
"Rush photobook";"13100";43.296346;5.369889;"www.laphotographie-marseille.com";"Arts visuels";"MARSEILLE"
"INASOUND";"75002";48.86790338;2.34410717;"http://www.inasound.fr/fr/";"Musique";"PARIS"
"WorldStock";"75010";48.8567;2.3508;"non renseigne";"Musique";"PARIS"
"Hibernarock";"15100";45.02789198;3.08320563;"https://www.hibernarock.fr/";"Musique";"SAINT-FLOUR"
"Remise à neuf";"34700";43.71017124;3.42987273;"https://remiseaneuf.fr/";"Musique";"SAINT-JEA-DE-LA-BLAQUIERE"
"Hauts-de-France en Scène";"02100";49.84723363;3.27769499;"https://www.hautsdefranceenscene.fr/2022-page-festival";"Spectacle vivant";"SAINT-QUENTIN"
"Mai du livre";"65000";43.23478596;0.06600939;"www.liguedelenseignementfol65.org";"Livre";"TARBES"
"Printemps Musical";"49125";47.62455995;-0.44344301;"http://www.tierce.fr/culture_et_loisirs/culture/saison_culturelle_2017/le_printemps_musical.html";"Musique";"TIERCE"
"Cicada festival";"30700";44.01365904;4.41600032;"https://yurplan.com/event/CICADA-Festival-Uzes-5/72271#/";"Musique";"UZES"
"Bocksons Festival";"25700";47.46473678;6.82570788;"https://www.bocksons.com/";"Musique";"VALENTIGNEY"
"Festival d Alba";"07400";44.55444391;4.59597695;"https://lefestivaldalba.org";"Spectacle vivant";"ALBA-LA-ROMAINE"
"Black Bass Festival";"33390";45.21150046;-0.63821967;"http://blackbassfestival.com/";"Musique";"ANGLADE"
"Rencontres des cinémas d Europe";"07200";44.61021271;4.39638981;"https://www.maisonimage.eu/rencontres-cinemas-europe-presentation/";"Cinéma";"AUBENAS"
"Là ! C est de la musique";"84000";43.93524483;4.84071573;"www.lacestdelamusique.com";"Musique";"AVIGNON"
"Les Beaux Jours de La Musique";"64200";43.46958472;-1.55309858;"http://ville.biarritz.fr/";"Musique";"BIARRITZ"
"Festival mondial des théâtres de marionnettes de Charleville-Mézières";"08000";49.77529658;4.71724656;"http://www.festival-marionnette.com/fr/";"Spectacle vivant";"CHARLEVILLE-MEZIERES"
"A Travers Chants";"53230";47.94585879;-0.93460633;"www.lesembuscades.fr";"Musique";"COSSE-LE-VIVIEN"
"Graff altitude";"63150";45.57962362;2.75018052;"http://www.ville-labourboule.com/sortir/lagenda-des-animations/event/2403-festival-graff-altitude.html";"Musique";"LA_BOURBOULE"
"Musique à la ferme";"13680";43.57604062;5.15953601;"https://musiquealaferme.com";"Musique";"LANÇON-DE-PROVENCE"
"Jazztitudes";"02000";49.56797249;3.62089562;"https://www.jazztitudes.org/";"Musique";"LAON"
"Cinémas du Sud";"69490";46.19274521;4.45130909;"www.regardsud.com";"Cinéma";"LYON"
"Festival d orgue de Mougins";"06250";43.59614106;7.00129445;"www.mougins.fr";"Musique";"MOUGINS"
"Nomade";"75003";48.86305413;2.35936106;"non renseigne";"Spectacle vivant";"PARIS"
"Festival Europa Revel";"38420";43.46560378;1.99689394;"https://www.facebook.com/festivaleuropa/";"Musique";"REVEL"
"Festival de guitare";"06700";43.68596258;7.18218792;"www.festivaldeguitare.fr";"Musique";"SAINT-LAURENT-DU-VAR"
"Blues à Sénart";"91280";48.60582826;2.51614927;"www.bluesasenart.com";"Musique";"SAINT-PIERRE-DU-PERRAY"
"Souillac en jazz";"46200";44.90695316;1.46396483;"souillacenjazz.fr";"Musique";"SOUILLAC"
"Yvoire jazz festival";"74140";46.36350829;6.33214094;"https://yvoirejazzfestival.com/";"Musique";"YVOIRE"
"Les estivales de Brou";"01000";46.204283;5.22458;"www.estivalesdebrou.net";"Musique";"BOURG-EN-BRESSE"
"Download Festival";"91220";48.60251134;2.30216232;"www.downloadfestival.fr";"Musique";"BRETIGNY-SUR-ORGE"
"Mès de jazz";"66500";42.65765447;2.44661139;"https://artquefem.com/";"Musique";"EUS"
"Radiomeuh Circus festival";"74220";45.90013895;6.46031714;"https://circus.radiomeuh.com/";"Musique";"LA_CLUSAZ"
"Les estivades des roquilles";"13680";43.57604062;5.15953601;"WWW.CARMENTRAN30.WIX.COM/CARAMENTRAN";"Spectacle vivant";"LANÇON-DE-PROVENCE"
"Festiv août";"81440";43.70524685;2.12929403;"http://www.festivaout.com/";"Musique";"LAUTREC"
"Maghreb-Orient des livres";"75001";48.86263049;2.33629345;"https://iremmo.org/model/";"Livre";"PARIS"
"Charabia Festival";"51100";49.25149061;4.04023023;"https://www.charabiafestival.com/";"Musique";"REIMS"
"Les Nuits panistiques";"13760";43.61362867;5.30698257;"non renseigne";"Musique";"SAINT-CANNAT"
"De l Ain à l autre";"01600";45.94067166;4.7714415;"www.festivaaal.com";"Musique";"TREVOUX"
"Dub station festival";"05110";43.44978317;5.26357788;"https://www.musicalriot.org/index.php/dub-station-festival";"Musique";"VITROLLES"
"Annecy cinéma italien";"74000";45.89064326;6.12551774;"www.annecycinemaitalien.com";"Cinéma";"ANNECY"
"Vraiment???";"01000";46.20515204;5.24602126;"https://vraimentquinzainephoto.wordpress.com";"Arts visuels";"BOURG-EN-BRESSE"
"Voix des merveilles";"06540";43.94043047;7.50391615;"non renseigne";"Musique";"BREIL-SUR-ROYA"
"Les Vieilles Charrues";"29270";48.26875788;-3.56626364;"http://www.vieillescharrues.asso.fr/";"Musique";"CARHAIX-PLOUGUER"
"Salon culture et écriture";"13390";43.296346;5.369889;"www.lyceeperrimond.com";"Livre";"MARSEILLE"
"Salon des auteurs de Meximieux";"01800";45.90605303;5.20404834;"https://ville-meximieux.fr/salon-des-auteurs-22eme-edition/";"Livre";"MEXIMIEUX"
"Les Inaccoutumés";"75011";48.8594155;2.37874106;"non renseigne";"Pluridisciplinaire";"PARIS"
"Paris International Animation Film Festival - PIAFF";"75005";48.8567;2.3508;"non renseigne";"Cinéma";"PARIS"
"Intime festival";"37550";47.35715611;0.73754444;"/photosvideo-2012-2013/intime-festival.html";"Musique";"SAINT-AVERTIN"
"Fête du Bruit - Saint Nolff";"56250";47.69846752;-2.66583211;"https://stnolff.festival-fetedubruit.com/";"Musique";"SAINT-NOLFF"
"Festiv arles";"13200";43.54686924;4.66215643;"www.comitedesfetes-arles.com";"Spectacle vivant";"ARLES"
"Les Nuits Courtes";"85200";46.45631861;-0.79344951;"https://www.lesnuitscourtes.com/";"Musique";"FONTENAY-LE-COMTE"
"Ecrivains en Grésivaudan";"38660";45.30407082;5.91320283;"http://ecrivainsengresivaudan.com";"Livre";"LUMBIN"
"Les jeudis des musiques du monde";"69170";45.63048621;4.7797335;"https://lesjeudisdesmusiquesdumonde.org/";"Musique";"LYON"
"Hello Birds";"35400";48.64004435;-1.98060627;"http://saintmalo.hellobirdsfestival.fr/";"Musique";"SAINT-MALO"
"Les journées musicales d automne";"03210";46.52434404;3.1899296;"https://souvigny-festival.com/";"Musique";"SOUVIGNY"
"Muscadeath";"44330";47.17151533;-1.26146566;"http://muscadeath.fr/";"Musique";"VALLET"
"Mois Molière";"78000";48.80256697;2.11789297;"http://www.moismoliere.com/";"Pluridisciplinaire";"VERSAILLES"
"Festival andalou";"84000";43.93524483;4.84071573;"https://lefestivalandalou.com/";"Musique";"AVIGNON"
"Printemps de Paroles";"77600";48.8462454;2.67900407;"http://www.marneetgondoire.fr/parc-culturel-de-rentilly/festival-printemps-de-paroles-858.html";"Pluridisciplinaire";"BUSSY-SAINT-MARTIN"
"Pharaonic";"73000";45.58318255;5.90903392;"http://www.pharaonic.fr/";"Musique";"CHAMBERY"
"Sarcus Festival";"37460";47.15355042;1.15871292;"https://sarcus.fr";"Musique";"CHEMILLE-SUR-INDROIS"
"Jazz in Fougères";"35300";48.35246971;-1.19431177;"www.le-coquelicot.fr";"Musique";"FOUGERES"
